id,age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,date,contact_month,contact_year,previous_contact,unnamed_0,income,kidhome,teenhome,dt_customer,num_web_visits_month,year
089b39d8-e4d0-461b-87d4-814d71e0e079,,housemaid,MARRIED,basic.4y,0,0,0,telephone,261,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-08-02,8,2019,0,0,161770,1,0,2012-04-04,29,2012
e9d37224-cb6f-4942-98d7-46672963d097,57.0,services,MARRIED,high.school,0,0,0,telephone,149,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2016-09-14,9,2016,0,1,85477,1,1,2012-12-30,7,2012
3f9f49b5-e410-4948-bf6e-f9244f04918b,37.0,services,MARRIED,high.school,0,1,0,telephone,226,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-02-15,2,2019,0,2,147233,1,1,2012-02-02,5,2012
9991fafb-4447-451a-8be2-b0df6098d13e,40.0,admin.,MARRIED,basic.6y,0,0,0,telephone,151,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2015-11-29,11,2015,0,3,121393,1,2,2012-12-21,29,2012
eca60b76-70b6-4077-80ba-bc52e8ebb0eb,56.0,services,MARRIED,high.school,0,0,1,telephone,307,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2017-01-29,1,2017,0,4,63164,1,2,2012-06-20,20,2012
d63ede72-0b6d-45b1-8872-385ac6897f65,45.0,services,MARRIED,basic.9y,0,0,0,telephone,198,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-09-26,9,2015,0,5,143854,0,1,2012-01-24,26,2012
5e3483e5-236d-437d-8351-541f9d09b9dd,59.0,admin.,MARRIED,professional.course,0,0,0,telephone,139,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-01-25,1,2019,0,6,76439,1,0,2012-08-15,3,2012
87fdc08b-30ae-4dab-803f-561ecdf27ff0,,blue-collar,MARRIED,,0,0,0,telephone,217,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-09-25,9,2017,0,7,159686,1,1,2012-12-10,21,2012
87b79988-2be5-419d-88f4-56655852c565,24.0,technician,SINGLE,professional.course,0,1,0,telephone,380,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-01-18,1,2018,0,8,179933,0,0,2012-08-22,18,2012
ea6b7d04-9271-4c0a-a01f-07795d164aba,25.0,services,SINGLE,high.school,0,1,0,telephone,50,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2016-11-02,11,2016,0,9,77504,1,0,2012-02-09,18,2012
